"Date Time","Date Time(RAW)","Traffic Total (volume)","Traffic Total (volume)(RAW)","Traffic Total (speed)","Traffic Total (speed)(RAW)","Traffic In (volume)","Traffic In (volume)(RAW)","Traffic In (speed)","Traffic In (speed)(RAW)","Traffic Out (volume)","Traffic Out (volume)(RAW)","Traffic Out (speed)","Traffic Out (speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"03.10.2022 16:46:00 - 16:47:00","44837.4909722222","30 052 037 KByte","30773285764.6830","4 103 105 kbit/s","512888096.0781","28 881 712 KByte","29574872907.0490","3 943 316 kbit/s","492914548.4508","1 170 325 KByte","1198412857.6340","159 788 kbit/s","19973547.6272","0 %","0.0000","100 %","0000010000"
"03.10.2022 16:47:00 - 16:48:00","44837.4916666667","31 359 896 KByte","32112533397.3070","4 281 671 kbit/s","535208889.9551","30 151 939 KByte","30875585342.0890","4 116 745 kbit/s","514593089.0348","1 207 957 KByte","1236948055.2180","164 926 kbit/s","20615800.9203","0 %","0.0000","100 %","0000010000"
"03.10.2022 16:48:00 - 16:49:00","44837.4923611111","30 334 431 KByte","31062456837.5203","4 142 351 kbit/s","517793912.9442","29 163 790 KByte","29863721370.9965","3 982 493 kbit/s","497811658.1263","1 170 640 KByte","1198735466.5238","159 858 kbit/s","19982254.8179","0 %","0.0000","100 %","0000009998"
"03.10.2022 16:49:00 - 16:50:00","44837.4930555556","30 809 456 KByte","31548882578.5580","4 206 518 kbit/s","525814709.6426","29 615 423 KByte","30326193259.8763","4 043 492 kbit/s","505436554.3313","1 194 033 KByte","1222689318.6816","163 025 kbit/s","20378155.3114","0 %","0.0000","100 %","0000010000"
"03.10.2022 16:50:00 - 16:51:00","44837.4937500000","32 096 479 KByte","32866794616.3597","4 382 970 kbit/s","547871222.1430","30 857 351 KByte","31597927648.8266","4 213 759 kbit/s","526719914.1328","1 239 128 KByte","1268866967.5331","169 210 kbit/s","21151308.0102","0 %","0.0000","100 %","0000009998"
"03.10.2022 16:51:00 - 16:52:00","44837.4944444444","32 387 185 KByte","33164476973.3077","4 422 667 kbit/s","552833421.7921","31 139 643 KByte","31886994205.0848","4 252 308 kbit/s","531538493.1669","1 247 542 KByte","1277482768.2229","170 359 kbit/s","21294928.6252","0 %","0.0000","100 %","0000009998"
"03.10.2022 16:52:00 - 16:53:00","44837.4951388889","32 207 529 KByte","32980509427.2212","4 397 401 kbit/s","549675157.1204","30 968 542 KByte","31711787117.6408","4 228 238 kbit/s","528529785.2940","1 238 987 KByte","1268722309.5804","169 163 kbit/s","21145371.8263","0 %","0.0000","100 %","0000010000"
"03.10.2022 16:53:00 - 16:54:00","44837.4958333333","31 301 065 KByte","32052290863.4201","4 274 351 kbit/s","534293896.7065","30 094 670 KByte","30816942454.9000","4 109 611 kbit/s","513701324.4691","1 206 395 KByte","1235348408.5201","164 741 kbit/s","20592572.2374","0 %","0.0000","100 %","0000009998"
"03.10.2022 16:54:00 - 16:55:00","44837.4965277778","31 118 781 KByte","31865632097.1683","4 249 459 kbit/s","531182398.6859","29 912 005 KByte","30629893553.0457","4 084 667 kbit/s","510583323.1046","1 206 776 KByte","1235738544.1226","164 793 kbit/s","20599075.5813","0 %","0.0000","100 %","0000009998"
"03.10.2022 16:55:00 - 16:56:00","44837.4972222222","29 514 191 KByte","30222531792.5017","4 030 343 kbit/s","503792828.6798","28 365 412 KByte","29046181868.7632","3 873 470 kbit/s","484183728.4341","1 148 779 KByte","1176349923.7385","156 873 kbit/s","19609100.2457","0 %","0.0000","100 %","0000009998"
"03.10.2022 16:56:00 - 16:57:00","44837.4979166667","29 812 763 KByte","30528269044.8994","4 070 436 kbit/s","508804484.0817","28 653 572 KByte","29341257973.8303","3 912 168 kbit/s","489020966.2305","1 159 190 KByte","1187011071.0691","158 268 kbit/s","19783517.8512","0 %","0.0000","100 %","0000010000"
"03.10.2022 16:57:00 - 16:58:00","44837.4986111111","30 981 276 KByte","31724826622.6692","4 230 682 kbit/s","528835249.5861","29 778 386 KByte","30493067587.3337","4 066 420 kbit/s","508302510.2073","1 202 890 KByte","1231759035.3356","164 262 kbit/s","20532739.3788","0 %","0.0000","100 %","0000009998"
"03.10.2022 16:58:00 - 16:59:00","44837.4993055556","31 132 766 KByte","31879952368.3157","4 251 369 kbit/s","531421109.6569","29 922 037 KByte","30640165881.2629","4 086 036 kbit/s","510754557.1139","1 210 729 KByte","1239786487.0528","165 332 kbit/s","20666552.5430","0 %","0.0000","100 %","0000009998"
"03.10.2022 16:59:00 - 17:00:00","44837.5000000000","31 836 801 KByte","32600883820.0267","4 347 509 kbit/s","543438636.7732","30 610 727 KByte","31345384728.4021","4 180 081 kbit/s","522510163.8340","1 226 073 KByte","1255499091.6246","167 428 kbit/s","20928472.9392","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:00:00 - 17:01:00","44837.5006944444","32 066 712 KByte","32836312593.4653","4 378 175 kbit/s","547271876.5578","30 830 969 KByte","31570911765.7617","4 209 455 kbit/s","526181862.7627","1 235 743 KByte","1265400827.7036","168 720 kbit/s","21090013.7951","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:01:00 - 17:02:00","44837.5013888889","31 754 483 KByte","32516590137.9907","4 336 268 kbit/s","542033507.8845","30 517 390 KByte","31249807355.3063","4 167 336 kbit/s","520916942.0788","1 237 093 KByte","1266782782.6843","168 933 kbit/s","21116565.8057","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:02:00 - 17:03:00","44837.5020833333","30 307 012 KByte","31034380308.1893","4 137 917 kbit/s","517239671.8032","29 125 084 KByte","29824086067.1007","3 976 545 kbit/s","497068101.1183","1 181 928 KByte","1210294241.0886","161 373 kbit/s","20171570.6848","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:03:00 - 17:04:00","44837.5027777778","29 800 815 KByte","30516034706.9907","4 069 483 kbit/s","508685359.3431","28 641 021 KByte","29328405094.0910","3 911 106 kbit/s","488888232.9403","1 159 795 KByte","1187629612.8997","158 377 kbit/s","19797126.4027","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:04:00 - 17:05:00","44837.5034722222","31 218 630 KByte","31967877351.1147","4 263 094 kbit/s","532886770.3136","30 007 817 KByte","30728004914.3189","4 097 750 kbit/s","512218785.0362","1 210 813 KByte","1239872436.7958","165 344 kbit/s","20667985.2775","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:05:00 - 17:06:00","44837.5041666667","31 820 809 KByte","32584508239.2834","4 345 325 kbit/s","543165664.9322","30 589 151 KByte","31323290786.0887","4 177 135 kbit/s","522141870.0798","1 231 658 KByte","1261217453.1947","168 190 kbit/s","21023794.8524","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:06:00 - 17:07:00","44837.5048611111","31 594 686 KByte","32352958379.2656","4 313 728 kbit/s","539215972.9878","30 362 023 KByte","31090711773.9739","4 145 428 kbit/s","518178529.5662","1 232 663 KByte","1262246605.2917","168 300 kbit/s","21037443.4215","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:07:00 - 17:08:00","44837.5055555556","31 885 679 KByte","32650934902.4953","4 354 184 kbit/s","544272960.5350","30 641 420 KByte","31376814377.1178","4 184 273 kbit/s","523034078.6317","1 244 258 KByte","1274120525.3775","169 911 kbit/s","21238881.9033","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:08:00 - 17:09:00","44837.5062500000","31 421 981 KByte","32176108953.5199","4 290 148 kbit/s","536268482.5587","30 194 959 KByte","30919637731.4127","4 122 618 kbit/s","515327295.5235","1 227 023 KByte","1256471222.1072","167 529 kbit/s","20941187.0351","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:09:00 - 17:10:00","44837.5069444444","31 402 568 KByte","32156229953.8126","4 287 497 kbit/s","535937165.8969","30 167 418 KByte","30891436149.9995","4 118 858 kbit/s","514857269.1667","1 235 150 KByte","1264793803.8131","168 639 kbit/s","21079896.7302","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:10:00 - 17:11:00","44837.5076388889","33 470 732 KByte","34274029623.9965","4 570 632 kbit/s","571329048.5747","32 150 501 KByte","32922112692.6388","4 390 347 kbit/s","548793343.7679","1 320 231 KByte","1351916931.3577","180 286 kbit/s","22535704.8068","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:11:00 - 17:12:00","44837.5083333333","29 787 265 KByte","30502159627.7929","4 067 633 kbit/s","508454069.4748","28 617 482 KByte","29304301116.3327","3 907 891 kbit/s","488486433.0110","1 169 784 KByte","1197858511.4602","159 741 kbit/s","19967636.4637","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:12:00 - 17:13:00","44837.5090277778","32 687 072 KByte","33471561383.6178","4 462 875 kbit/s","557859356.3936","31 407 883 KByte","32161671975.5950","4 288 223 kbit/s","536027866.2599","1 279 189 KByte","1309889408.0228","174 652 kbit/s","21831490.1337","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:13:00 - 17:14:00","44837.5097222222","33 736 932 KByte","34546618480.3574","4 606 216 kbit/s","575776974.6726","32 418 934 KByte","33196988854.3013","4 426 265 kbit/s","553283147.5717","1 317 998 KByte","1349629626.0561","179 951 kbit/s","22493827.1009","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:14:00 - 17:15:00","44837.5104166667","31 353 019 KByte","32105491408.2341","4 280 732 kbit/s","535091523.4706","30 127 781 KByte","30850847753.8395","4 113 446 kbit/s","514180795.8973","1 225 238 KByte","1254643654.3946","167 286 kbit/s","20910727.5732","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:15:00 - 17:16:00","44837.5111111111","31 925 197 KByte","32691401876.9982","4 358 854 kbit/s","544856697.9500","30 676 065 KByte","31412290579.0135","4 188 305 kbit/s","523538176.3169","1 249 132 KByte","1279111297.9847","170 548 kbit/s","21318521.6331","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:16:00 - 17:17:00","44837.5118055556","30 279 561 KByte","31006270343.1832","4 134 169 kbit/s","516771172.3864","29 101 012 KByte","29799436524.2242","3 973 258 kbit/s","496657275.4037","1 178 549 KByte","1206833818.9590","160 911 kbit/s","20113896.9827","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:17:00 - 17:18:00","44837.5125000000","30 835 254 KByte","31575299622.3165","4 210 742 kbit/s","526342717.4915","29 635 850 KByte","30347110397.0098","4 046 956 kbit/s","505869484.8643","1 199 404 KByte","1228189225.3067","163 786 kbit/s","20473232.6272","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:18:00 - 17:19:00","44837.5131944444","32 294 559 KByte","33069628870.9186","4 409 284 kbit/s","551160481.1820","31 040 130 KByte","31785093281.8318","4 238 012 kbit/s","529751554.6972","1 254 429 KByte","1284535589.0868","171 271 kbit/s","21408926.4848","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:19:00 - 17:20:00","44837.5138888889","32 208 858 KByte","32981870161.5295","4 397 583 kbit/s","549697836.0255","30 961 103 KByte","31704169796.7943","4 227 223 kbit/s","528402829.9466","1 247 754 KByte","1277700364.7352","170 360 kbit/s","21295006.0789","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:20:00 - 17:21:00","44837.5145833333","32 711 652 KByte","33496731680.2586","4 466 975 kbit/s","558371923.3249","31 449 646 KByte","32204437175.7358","4 294 641 kbit/s","536830091.2775","1 262 006 KByte","1292294504.5229","172 335 kbit/s","21541832.0474","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:21:00 - 17:22:00","44837.5152777778","33 429 595 KByte","34231905715.2981","4 564 254 kbit/s","570531761.9216","32 138 643 KByte","32909970668.6949","4 387 996 kbit/s","548499511.1449","1 290 952 KByte","1321935046.6031","176 258 kbit/s","22032250.7767","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:22:00 - 17:23:00","44837.5159722222","33 201 900 KByte","33998745467.0563","4 533 166 kbit/s","566645757.7843","31 916 967 KByte","32682974435.6305","4 357 730 kbit/s","544716240.5938","1 284 933 KByte","1315771031.4258","175 436 kbit/s","21929517.1904","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:23:00 - 17:24:00","44837.5166666667","31 426 683 KByte","32180923489.6188","4 291 505 kbit/s","536438131.1822","30 212 888 KByte","30937997029.5627","4 125 754 kbit/s","515719237.0322","1 213 795 KByte","1242926460.0562","165 751 kbit/s","20718894.1500","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:24:00 - 17:25:00","44837.5173611111","31 506 014 KByte","32262158689.2143","4 301 621 kbit/s","537702644.8202","30 293 125 KByte","31020160300.5470","4 136 021 kbit/s","517002671.6758","1 212 889 KByte","1241998388.6673","165 600 kbit/s","20699973.1445","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:25:00 - 17:26:00","44837.5180555556","31 802 617 KByte","32565880112.6563","4 342 841 kbit/s","542855144.4017","30 569 603 KByte","31303273232.3974","4 174 466 kbit/s","521808188.5714","1 233 015 KByte","1262606880.2589","168 376 kbit/s","21046955.8303","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:26:00 - 17:27:00","44837.5187500000","32 021 346 KByte","32789858396.7454","4 371 981 kbit/s","546497639.9458","30 780 246 KByte","31518972262.2984","4 202 530 kbit/s","525316204.3716","1 241 100 KByte","1270886134.4470","169 451 kbit/s","21181435.5741","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:27:00 - 17:28:00","44837.5194444444","32 215 988 KByte","32989171859.9055","4 398 556 kbit/s","549819530.9984","30 974 337 KByte","31717721378.8330","4 229 030 kbit/s","528628689.6472","1 241 651 KByte","1271450481.0725","169 527 kbit/s","21190841.3512","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:28:00 - 17:29:00","44837.5201388889","32 201 505 KByte","32974341553.3315","4 397 312 kbit/s","549663969.8838","30 963 188 KByte","31706304547.9342","4 228 212 kbit/s","528526496.8817","1 238 317 KByte","1268037005.3973","169 100 kbit/s","21137473.0021","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:29:00 - 17:30:00","44837.5208333333","32 733 922 KByte","33519536537.4010","4 469 272 kbit/s","558658942.2900","31 469 062 KByte","32224319540.5980","4 296 576 kbit/s","537071992.3433","1 264 860 KByte","1295216996.8030","172 696 kbit/s","21586949.9467","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:30:00 - 17:31:00","44837.5215277778","32 547 478 KByte","33328617743.5448","4 444 556 kbit/s","555569557.3186","31 279 643 KByte","32030354183.5053","4 271 426 kbit/s","533928224.4292","1 267 836 KByte","1298263560.0395","173 131 kbit/s","21641332.8895","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:31:00 - 17:32:00","44837.5222222222","30 599 868 KByte","31334265071.2965","4 178 598 kbit/s","522324805.3225","29 408 567 KByte","30114372515.1511","4 015 919 kbit/s","501989873.5648","1 191 301 KByte","1219892556.1454","162 679 kbit/s","20334931.7577","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:32:00 - 17:33:00","44837.5229166667","30 240 228 KByte","30965993212.2611","4 128 799 kbit/s","516099886.8710","29 062 668 KByte","29760172393.4920","3 968 023 kbit/s","496002873.2249","1 177 559 KByte","1205820818.7691","160 776 kbit/s","20097013.6462","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:33:00 - 17:34:00","44837.5236111111","31 046 239 KByte","31791348351.6833","4 238 846 kbit/s","529855805.8614","29 840 240 KByte","30556405548.0825","4 074 187 kbit/s","509273425.8014","1 205 999 KByte","1234942803.6008","164 659 kbit/s","20582380.0600","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:34:00 - 17:35:00","44837.5243055556","32 073 481 KByte","32843244061.2118","4 379 099 kbit/s","547387401.0202","30 837 082 KByte","31577172165.3854","4 210 290 kbit/s","526286202.7564","1 236 398 KByte","1266071895.8264","168 810 kbit/s","21101198.2638","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:35:00 - 17:36:00","44837.5250000000","32 530 963 KByte","33311706225.2290","4 442 301 kbit/s","555287651.6958","31 274 691 KByte","32025284056.1701","4 270 750 kbit/s","533843708.2209","1 256 272 KByte","1286422169.0589","171 552 kbit/s","21443943.4749","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:36:00 - 17:37:00","44837.5256944444","32 362 458 KByte","33139156553.4695","4 418 554 kbit/s","552319275.8912","31 113 882 KByte","31860614893.5707","4 248 082 kbit/s","531010248.2262","1 248 576 KByte","1278541659.8988","170 472 kbit/s","21309027.6650","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:37:00 - 17:38:00","44837.5263888889","32 671 836 KByte","33455960149.7897","4 460 795 kbit/s","557599335.8298","31 422 734 KByte","32176880074.9564","4 290 251 kbit/s","536281334.5826","1 249 102 KByte","1279080074.8334","170 544 kbit/s","21318001.2472","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:38:00 - 17:39:00","44837.5270833333","31 384 464 KByte","32137691123.5449","4 285 025 kbit/s","535628185.3924","30 191 667 KByte","30916267139.1380","4 122 169 kbit/s","515271118.9856","1 192 797 KByte","1221423984.4070","162 857 kbit/s","20357066.4068","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:39:00 - 17:40:00","44837.5277777778","32 067 729 KByte","32837354980.1478","4 378 314 kbit/s","547289249.6691","30 848 507 KByte","31588871516.4430","4 211 850 kbit/s","526481191.9407","1 219 222 KByte","1248483463.7048","166 464 kbit/s","20808057.7284","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:40:00 - 17:41:00","44837.5284722222","33 069 207 KByte","33862867471.0973","4 515 802 kbit/s","564475203.7189","31 801 324 KByte","32564556017.9230","4 342 665 kbit/s","542833072.4775","1 267 882 KByte","1298311453.1743","173 137 kbit/s","21642131.2414","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:41:00 - 17:42:00","44837.5291666667","32 272 229 KByte","33046762526.7742","4 406 235 kbit/s","550779375.4462","31 026 698 KByte","31771339198.8092","4 236 179 kbit/s","529522319.9802","1 245 531 KByte","1275423327.9650","170 056 kbit/s","21257055.4661","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:42:00 - 17:43:00","44837.5298611111","32 264 108 KByte","33038446149.2358","4 405 860 kbit/s","550732557.9136","31 023 128 KByte","31767682840.9272","4 236 397 kbit/s","529549638.9553","1 240 980 KByte","1270763308.3086","169 463 kbit/s","21182918.9583","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:43:00 - 17:44:00","44837.5305555556","32 180 037 KByte","32952357705.7379","4 393 648 kbit/s","549205961.7623","30 940 628 KByte","31683202776.8525","4 224 427 kbit/s","528053379.6142","1 239 409 KByte","1269154928.8854","169 221 kbit/s","21152582.1481","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:44:00 - 17:45:00","44837.5312500000","31 966 773 KByte","32733976051.2672","4 365 258 kbit/s","545657210.3895","30 730 599 KByte","31468133481.4782","4 196 451 kbit/s","524556317.4109","1 236 174 KByte","1265842569.7890","168 807 kbit/s","21100892.9786","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:45:00 - 17:46:00","44837.5319444444","30 780 681 KByte","31519417833.3591","4 203 290 kbit/s","525411199.0892","29 583 183 KByte","30293179867.8595","4 039 764 kbit/s","504970492.8798","1 197 498 KByte","1226237965.4996","163 526 kbit/s","20440706.2094","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:46:00 - 17:47:00","44837.5326388889","31 742 682 KByte","32504506622.5650","4 333 934 kbit/s","541741777.0428","30 512 648 KByte","31244951186.8686","4 165 993 kbit/s","520749186.4478","1 230 035 KByte","1259555435.6964","167 941 kbit/s","20992590.5949","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:47:00 - 17:48:00","44837.5333333333","32 855 784 KByte","33644322856.7718","4 486 657 kbit/s","560832186.3106","31 588 302 KByte","32346420770.0200","4 313 575 kbit/s","539196878.9802","1 267 483 KByte","1297902086.7518","173 082 kbit/s","21635307.3304","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:48:00 - 17:49:00","44837.5340277778","33 244 123 KByte","34041981787.4534","4 539 688 kbit/s","567460939.9475","31 965 088 KByte","32732250542.2122","4 365 028 kbit/s","545628447.1114","1 279 034 KByte","1309731245.2412","174 660 kbit/s","21832492.8362","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:49:00 - 17:50:00","44837.5347222222","33 392 089 KByte","34193499002.2357","4 559 893 kbit/s","569986647.8119","32 109 905 KByte","32880543082.2319","4 384 803 kbit/s","548100401.4374","1 282 184 KByte","1312955920.0038","175 090 kbit/s","21886246.3745","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:50:00 - 17:51:00","44837.5354166667","33 246 662 KByte","34044581564.9969","4 539 278 kbit/s","567409692.7499","31 966 352 KByte","32733544522.4640","4 364 473 kbit/s","545559075.3744","1 280 310 KByte","1311037042.5329","174 805 kbit/s","21850617.3755","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:51:00 - 17:52:00","44837.5361111111","33 771 998 KByte","34582526010.7754","4 611 772 kbit/s","576471512.0983","32 469 660 KByte","33248932275.5180","4 433 930 kbit/s","554241244.7994","1 302 338 KByte","1333593735.2574","177 842 kbit/s","22230267.2988","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:52:00 - 17:53:00","44837.5368055556","31 988 188 KByte","32755904882.9676","4 367 454 kbit/s","545931748.0495","30 763 005 KByte","31501316776.3367","4 200 176 kbit/s","525021946.2723","1 225 184 KByte","1254588106.6309","167 278 kbit/s","20909801.7772","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:53:00 - 17:54:00","44837.5375000000","32 559 846 KByte","33341282208.1262","4 446 245 kbit/s","555780666.9133","31 312 225 KByte","32063718709.3484","4 275 875 kbit/s","534484392.5546","1 247 621 KByte","1277563498.7778","170 370 kbit/s","21296274.3587","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:54:00 - 17:55:00","44837.5381944444","33 489 976 KByte","34293735123.2336","4 572 498 kbit/s","571562252.0539","32 199 427 KByte","32972212752.5348","4 396 295 kbit/s","549536879.2089","1 290 549 KByte","1321522370.6988","176 203 kbit/s","22025372.8450","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:55:00 - 17:56:00","44837.5388888889","32 953 200 KByte","33744076367.6276","4 499 960 kbit/s","562495021.9641","31 688 826 KByte","32449357388.2156","4 327 302 kbit/s","540912775.2661","1 264 374 KByte","1294718979.4119","172 658 kbit/s","21582246.6980","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:56:00 - 17:57:00","44837.5395833333","32 997 808 KByte","33789755202.4421","4 506 052 kbit/s","563256462.7845","31 737 124 KByte","32498815486.7984","4 333 898 kbit/s","541737214.3157","1 260 683 KByte","1290939715.6437","172 154 kbit/s","21519248.4688","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:57:00 - 17:58:00","44837.5402777778","33 018 753 KByte","33811203262.1196","4 508 160 kbit/s","563520054.3687","31 747 245 KByte","32509179134.7994","4 334 557 kbit/s","541819652.2467","1 271 508 KByte","1302024127.3203","173 603 kbit/s","21700402.1220","0 %","0.0000","100 %","0000010000"
"03.10.2022 17:58:00 - 17:59:00","44837.5409722222","32 850 743 KByte","33639161012.6405","4 485 969 kbit/s","560746141.2342","31 584 222 KByte","32342243568.6535","4 313 018 kbit/s","539127247.3521","1 266 521 KByte","1296917443.9870","172 951 kbit/s","21618893.8821","0 %","0.0000","100 %","0000009998"
"03.10.2022 17:59:00 - 18:00:00","44837.5416666667","31 263 116 KByte","32013430637.7984","4 268 457 kbit/s","533557177.2966","30 061 675 KByte","30783155482.9854","4 104 421 kbit/s","513052591.3831","1 201 441 KByte","1230275154.8130","164 037 kbit/s","20504585.9136","0 %","0.0000","100 %","0000010000"
"03.10.2022 18:00:00 - 18:01:00","44837.5423611111","31 566 788 KByte","32324390956.3777","4 309 919 kbit/s","538739849.2730","30 355 287 KByte","31083813854.5541","4 144 509 kbit/s","518063564.2426","1 211 501 KByte","1240577101.8236","165 410 kbit/s","20676285.0304","0 %","0.0000","100 %","0000010000"
"03.10.2022 18:01:00 - 18:02:00","44837.5430555556","32 573 874 KByte","33355647146.9003","4 448 161 kbit/s","556020122.4687","31 326 199 KByte","32078027270.6542","4 277 783 kbit/s","534722908.3290","1 247 676 KByte","1277619876.2461","170 378 kbit/s","21297214.1398","0 %","0.0000","100 %","0000009998"
"03.10.2022 18:02:00 - 18:03:00","44837.5437500000","31 776 204 KByte","32538832650.9525","4 338 511 kbit/s","542313877.5159","30 552 386 KByte","31285643616.7043","4 171 419 kbit/s","521427393.6117","1 223 817 KByte","1253189034.2482","167 092 kbit/s","20886483.9041","0 %","0.0000","100 %","0000010000"
"03.10.2022 18:03:00 - 18:04:00","44837.5444444444","31 400 611 KByte","32154225643.9745","4 287 230 kbit/s","535903760.7329","30 174 461 KByte","30898647791.2899","4 119 820 kbit/s","514977463.1882","1 226 150 KByte","1255577852.6846","167 410 kbit/s","20926297.5447","0 %","0.0000","100 %","0000010000"
"03.10.2022 18:04:00 - 18:05:00","44837.5451388889","31 173 263 KByte","31921421385.6981","4 256 899 kbit/s","532112375.1575","29 949 176 KByte","30667956472.8311","4 089 742 kbit/s","511217810.8490","1 224 087 KByte","1253464912.8670","167 157 kbit/s","20894564.3085","0 %","0.0000","100 %","0000009998"
"03.10.2022 18:05:00 - 18:06:00","44837.5458333333","30 631 895 KByte","31367060518.9367","4 182 972 kbit/s","522871487.2301","29 425 362 KByte","30131570298.8598","4 018 212 kbit/s","502276551.0728","1 206 533 KByte","1235490220.0768","164 759 kbit/s","20594936.1573","0 %","0.0000","100 %","0000009998"
"03.10.2022 18:06:00 - 18:07:00","44837.5465277778","28 872 312 KByte","29565247535.9361","3 942 033 kbit/s","492754125.5989","27 731 262 KByte","28396811801.1848","3 786 242 kbit/s","473280196.6864","1 141 051 KByte","1168435734.7514","155 791 kbit/s","19473928.9125","0 %","0.0000","100 %","0000010000"
"03.10.2022 18:07:00 - 18:08:00","44837.5472222222","29 649 577 KByte","30361166915.6643","4 048 156 kbit/s","506019448.5944","28 486 707 KByte","29170387646.2593","3 889 385 kbit/s","486173127.4377","1 162 870 KByte","1190779269.4050","158 771 kbit/s","19846321.1568","0 %","0.0000","100 %","0000010000"
"03.10.2022 18:08:00 - 18:09:00","44837.5479166667","31 395 680 KByte","32149176552.9392","4 287 271 kbit/s","535908927.3702","30 173 731 KByte","30897900290.1707","4 120 407 kbit/s","515050846.6440","1 221 949 KByte","1251276262.7685","166 865 kbit/s","20858080.7263","0 %","0.0000","100 %","0000009998"
"03.10.2022 18:09:00 - 18:10:00","44837.5486111111","31 594 530 KByte","32352798631.2284","4 313 706 kbit/s","539213310.5205","30 365 409 KByte","31094178796.9466","4 145 891 kbit/s","518236313.2824","1 229 121 KByte","1258619834.2818","167 816 kbit/s","20976997.2380","0 %","0.0000","100 %","0000010000"
"03.10.2022 18:10:00 - 18:11:00","44837.5493055556","31 521 587 KByte","32278105287.9855","4 304 465 kbit/s","538058097.8161","30 291 833 KByte","31018836866.8263","4 136 534 kbit/s","517066792.2458","1 229 754 KByte","1259268421.1592","167 930 kbit/s","20991305.5702","0 %","0.0000","100 %","0000009998"
"03.10.2022 18:11:00 - 18:12:00","44837.5500000000","31 689 037 KByte","32449573534.3515","4 326 610 kbit/s","540826225.5725","30 455 803 KByte","31186741974.1683","4 158 232 kbit/s","519779032.9028","1 233 234 KByte","1262831560.1832","168 378 kbit/s","21047192.6697","0 %","0.0000","100 %","0000010000"
"03.10.2022 18:12:00 - 18:13:00","44837.5506944444","32 249 434 KByte","33023420339.5751","4 403 123 kbit/s","550390338.9929","30 999 919 KByte","31743917025.5655","4 232 522 kbit/s","529065283.7594","1 249 515 KByte","1279503314.0097","170 600 kbit/s","21325055.2335","0 %","0.0000","100 %","0000010000"
